Date;Filière;Valeur (GW)
08/02/2019;Enveloppe basse 2014 - 2019;71,44383558
09/02/2019;Enveloppe basse 2014 - 2019;71,21615606
10/02/2019;Enveloppe basse 2014 - 2019;70,67974133
11/02/2019;Enveloppe basse 2014 - 2019;64,97457581
12/02/2019;Enveloppe basse 2014 - 2019;61,77966763
13/02/2019;Enveloppe basse 2014 - 2019;69,92402752
14/02/2019;Enveloppe basse 2014 - 2019;70,79669815
15/02/2019;Enveloppe basse 2014 - 2019;69,98254354
16/02/2019;Enveloppe basse 2014 - 2019;69,51910083
17/02/2019;Enveloppe basse 2014 - 2019;68,54326883
18/02/2019;Enveloppe basse 2014 - 2019;62,49929296
19/02/2019;Enveloppe basse 2014 - 2019;59,01734348
20/02/2019;Enveloppe basse 2014 - 2019;67,35492042
21/02/2019;Enveloppe basse 2014 - 2019;67,99019848
22/02/2019;Enveloppe basse 2014 - 2019;67,95115367
23/02/2019;Enveloppe basse 2014 - 2019;67,40864533
24/02/2019;Enveloppe basse 2014 - 2019;66,30527925
25/02/2019;Enveloppe basse 2014 - 2019;61,08382173
26/02/2019;Enveloppe basse 2014 - 2019;58,90201104
27/02/2019;Enveloppe basse 2014 - 2019;66,71880852
28/02/2019;Enveloppe basse 2014 - 2019;67,70466496
01/03/2019;Enveloppe basse 2014 - 2019;67,6062191
02/03/2019;Enveloppe basse 2014 - 2019;66,88184627
03/03/2019;Enveloppe basse 2014 - 2019;66,33199298
04/03/2019;Enveloppe basse 2014 - 2019;59,78982517
05/03/2019;Enveloppe basse 2014 - 2019;56,81158692
06/03/2019;Enveloppe basse 2014 - 2019;63,61932994
07/03/2019;Enveloppe basse 2014 - 2019;63,96591908
08/03/2019;Enveloppe basse 2014 - 2019;64,83787081
09/03/2019;Enveloppe basse 2014 - 2019;65,18846738
10/03/2019;Enveloppe basse 2014 - 2019;64,19344975
11/03/2019;Enveloppe basse 2014 - 2019;58,22496604
12/03/2019;Enveloppe basse 2014 - 2019;55,27181575
13/03/2019;Enveloppe basse 2014 - 2019;62,48154652
14/03/2019;Enveloppe basse 2014 - 2019;62,779596
15/03/2019;Enveloppe basse 2014 - 2019;63,13380994
16/03/2019;Enveloppe basse 2014 - 2019;63,3311626
17/03/2019;Enveloppe basse 2014 - 2019;61,64578919
18/03/2019;Enveloppe basse 2014 - 2019;55,9785901
19/03/2019;Enveloppe basse 2014 - 2019;52,85868413
20/03/2019;Enveloppe basse 2014 - 2019;60,37353829
21/03/2019;Enveloppe basse 2014 - 2019;61,423588
22/03/2019;Enveloppe basse 2014 - 2019;61,51512571
23/03/2019;Enveloppe basse 2014 - 2019;61,06178917
24/03/2019;Enveloppe basse 2014 - 2019;60,46342169
25/03/2019;Enveloppe basse 2014 - 2019;54,35356597
26/03/2019;Enveloppe basse 2014 - 2019;51,39024528
27/03/2019;Enveloppe basse 2014 - 2019;58,24610415
28/03/2019;Enveloppe basse 2014 - 2019;59,14866633
29/03/2019;Enveloppe basse 2014 - 2019;58,9489211
30/03/2019;Enveloppe basse 2014 - 2019;58,5545345
31/03/2019;Enveloppe basse 2014 - 2019;57,47711208
01/04/2019;Enveloppe basse 2014 - 2019;51,59987021
02/04/2019;Enveloppe basse 2014 - 2019;49,09269279
03/04/2019;Enveloppe basse 2014 - 2019;56,40599642
04/04/2019;Enveloppe basse 2014 - 2019;57,0166951
05/04/2019;Enveloppe basse 2014 - 2019;56,64702379
06/04/2019;Enveloppe basse 2014 - 2019;56,00769904
07/04/2019;Enveloppe basse 2014 - 2019;55,1548219
08/04/2019;Enveloppe basse 2014 - 2019;49,81050742
